N_POINTS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
0,161,A,A,5906343,1,4.22,,1,37.395,,1,28.302,,1,1,22.331,-50.373,2025-09-01 02:33:07
1,161,A,A,5906343,1,5.82,,1,37.395,,1,28.304,,1,1,22.331,-50.373,2025-09-01 02:33:07
2,161,A,A,5906343,1,7.82,,1,37.395,,1,28.31,,1,1,22.331,-50.373,2025-09-01 02:33:07
3,161,A,A,5906343,1,10.02,,1,37.395,,1,28.312,,1,1,22.331,-50.373,2025-09-01 02:33:07
4,161,A,A,5906343,1,11.52,,1,37.395,,1,28.31,,1,1,22.331,-50.373,2025-09-01 02:33:07
5,161,A,A,5906343,1,13.82,,1,37.485,,1,28.29,,1,1,22.331,-50.373,2025-09-01 02:33:07
6,161,A,A,5906343,1,15.82,,1,37.687,,1,28.209,,1,1,22.331,-50.373,2025-09-01 02:33:07
7,161,A,A,5906343,1,17.82,,1,37.685,,1,28.178,,1,1,22.331,-50.373,2025-09-01 02:33:07
8,161,A,A,5906343,1,19.82,,1,37.684,,1,28.158,,1,1,22.331,-50.373,2025-09-01 02:33:07
9,161,A,A,5906343,1,21.82,,1,37.685,,1,28.148,,1,1,22.331,-50.373,2025-09-01 02:33:07
10,161,A,A,5906343,1,23.82,,1,37.685,,1,28.135,,1,1,22.331,-50.373,2025-09-01 02:33:07
11,161,A,A,5906343,1,25.82,,1,37.682,,1,28.115,,1,1,22.331,-50.373,2025-09-01 02:33:07
12,161,A,A,5906343,1,27.82,,1,37.68,,1,28.101,,1,1,22.331,-50.373,2025-09-01 02:33:07
13,161,A,A,5906343,1,29.82,,1,37.68,,1,28.093,,1,1,22.331,-50.373,2025-09-01 02:33:07
14,161,A,A,5906343,1,31.82,,1,37.68,,1,28.085,,1,1,22.331,-50.373,2025-09-01 02:33:07
15,161,A,A,5906343,1,33.82,,1,37.681,,1,28.079,,1,1,22.331,-50.373,2025-09-01 02:33:07
16,161,A,A,5906343,1,35.82,,1,37.682,,1,28.072,,1,1,22.331,-50.373,2025-09-01 02:33:07
